"hi","hi"
"hi","hello"
"hello","hello"
"hello","hi"
"what is your age","i'm sixteen"
"how are you","i'm fine"
"how are you","not so good"
"how are you","ok na ako kse nandito ka na"
"mahal kita","sorry may mahal na akong iba"
"mahal kita","si mio ang mahal ko"
"sinong mahal mo","si mio"
"tara tulog na","una ka nalang"
"i love you","che!"
"sino hinahanap mo","si mio po"
"fav fud mo","talong at itlog"
"saan ka galing","sa bahay namin"
"gustong mag punta","sa siargao"
"tulog na tayo","ayoko pa maaga pa"
"how old are you","i'm sixteen years old"
"ilang taon ka","labing anim na taon gulang"
"hi","hello"
"hi","hi"
"hello","hi"
"hello","hello"
"sino mahal mo","si mio po"
"kamusta ka","Okey Lang ako, ikaw ba?"
"ilibre mo ako","wala ako pera"
"i love you","sorry si mio ang mahal ko"
"pautang","sa katapusan"
"pa iyota ko mia bi","di ko ui virgin pa ko"
"unsa man imo ngalan","mia po"
"unsa man imo ngalan","Mia Amor po"
"tulog tayo","wag muna maaga pa"
